Work_Order,Root_Work_Order,wo_depot,asset_depot,Asset,description,Comment on WO SiteReport,priority,job_type,Gas in Property,Component,Corrective Action,Repairs,Corrosion,Fracture,Failure,Interference,Other,status,status_date,scheduled_start,actual_finish,Location,principal_street,post_town,out_code,in_code,Lead_Id,Lead_Name,Material,Diameter
W2300000,W2299999,MOTHERWELL,MOTHERWELL,ASSET-8450,Routine repair WO,Root damage identified,4,MR,YES,METER,Monitor and review,Y,0,0,1,0,0,CLOSE,2026-05-27 14:07:55,2026-05-27 11:13:00,2026-05-27 14:07:55,LOC-MTH-847,HIGH STREET,MOTHERWELL,MT4,4XO,ENG012,Neil Forsyth,PE,25
W2300001,W2300000,DUNDEE,DUNDEE,ASSET-9259,Service pipe leak repair,Bypass valve faulty,1,EM,NO,RISER,PE joint re-made,N,0,0,1,0,0,COMP,2026-05-26 18:09:46,2026-05-26 10:02:00,2026-05-26 18:09:46,LOC-DND-689,VICTORIA ROAD,DUNDEE,DN3,6LM,ENG001,John MacDonald,CI,200
W2300002,W2300001,AYR,AYR,ASSET-5324,Valve replacement,Leak found at joint under pavement,2,IR,YES,METER,PE joint re-made,N,0,1,0,0,0,COMP,2026-05-26 15:28:06,2026-05-26 09:49:00,2026-05-26 15:28:06,LOC-AYR-399,ARGYLE STREET,AYR,AY7,7CS,ENG003,Catriona Stewart,ST,100
W2300003,W2299995,PERTH,PERTH,ASSET-1090,Corrosion repair on main,Excavation required,3,MR,NO  [Root WO: Gas in Property = YES],JOINT,Valve replaced,N,0,1,0,0,0,COMP,2026-05-27 16:31:54,2026-05-27 10:45:00,2026-05-27 16:31:54,LOC-PRT-336,MAIN STREET,PERTH,PR2,5CD,ENG009,Lorna Mitchell,AC,150
W2300004,W2299996,EDINBURGH,EDINBURGH,ASSET-7739,Service pipe leak repair,Corrosion on steel riser above ground,1,IR,NO  [Root WO: Gas in Property = NO],METER,Pipe section renewed,N,0,0,1,0,0,CLOSE,2026-05-27 18:38:41,2026-05-27 10:53:00,2026-05-27 18:38:41,LOC-EDI-116,HIGH STREET,EDINBURGH,ED6,1CX,ENG009,Lorna Mitchell,AC,100
W2300005,W2300001,AYR,AYR,ASSET-8611,Corrosion repair on main,Leak found at joint under pavement,4,ME,YES,METER,Temporary repair applied,Y,1,0,0,0,0,CLOSE,2026-05-27 16:04:53,2026-05-27 10:13:00,2026-05-27 16:04:53,LOC-AYR-448,PRINCES STREET,AYR,AY5,7EM,ENG001,John MacDonald,PE,63
W2300006,W2300000,DUNDEE,DUNDEE,ASSET-7210,Emergency service connection,No visible defect found on main,4,MR,NO  [Root WO: Gas in Property = YES],MAIN,Monitor and review,Y,1,0,0,0,0,CLOSE,2026-05-27 15:53:37,2026-05-27 11:49:00,2026-05-27 15:53:37,LOC-DND-965,VICTORIA ROAD,DUNDEE,DN4,3VZ,ENG015,Diane Kerr,CI,250
W2300007,W2299997,GLASGOW,GLASGOW,ASSET-5274,Meter bypass repair,Isolation required,4,IR,YES,RISER,Isolation applied,Y,0,1,0,0,0,PEND,2026-05-26 15:49:33,2026-05-26 07:44:00,2026-05-26 15:49:33,LOC-GLW-382,MAIN STREET,GLASGOW,GL7,2MP,ENG008,Craig Burns,CI,100
W2300008,W2300006,PAISLEY,PAISLEY,ASSET-0650,Pressure drop investigation,Corrosion on steel riser above ground,4,MR,NO  [Root WO: Gas in Property = NO],RISER,PE joint re-made,Y,0,1,0,0,0,COMP,2026-05-26 10:43:51,2026-05-26 08:33:00,2026-05-26 10:43:51,LOC-PSL-076,KING STREET,PAISLEY,PS1,1TH,ENG001,John MacDonald,CI,63
W2300009,W2300002,INVERNESS,INVERNESS,ASSET-6263,PE pipe section renewal,No visible defect found on main,1,ME,NO  [Root WO: Gas in Property = YES],MAIN,Isolation applied,N,0,0,1,0,0,CLOSE,2026-05-26 08:57:43,2026-05-26 06:10:00,2026-05-26 08:57:43,LOC-INV-199,CHURCH STREET,INVERNESS,IN9,4OA,ENG015,Diane Kerr,ST,250
W2300010,W2300009,PERTH,PERTH,ASSET-1926,Gas smell report investigation,No visible defect found on main,4,IR,YES,JOINT,Isolation applied,Y,0,1,0,0,0,CLOSE,2026-05-26 19:24:45,2026-05-26 10:33:00,2026-05-26 19:24:45,LOC-PRT-488,UNION STREET,PERTH,PR8,8XK,ENG011,Sandra Gillies,ST,32
W2300011,W2300006,AYR,AYR,ASSET-6159,Routine repair WO,Temporary clamp applied,3,MR,NO,METER,Section replaced with PE,N,0,0,1,0,0,CLOSE,2026-05-27 12:20:25,2026-05-27 06:56:00,2026-05-27 12:20:25,LOC-AYR-693,CHURCH STREET,AYR,AY5,7UN,ENG011,Sandra Gillies,AC,250
W2300012,W2300003,PERTH,PERTH,ASSET-6091,Routine repair WO,Bypass valve faulty,3,EM,NO,METER,Temporary repair applied,Y,0,0,0,1,0,OPEN,2026-05-27 15:28:03,2026-05-27 08:54:00,2026-05-27 15:28:03,LOC-PRT-999,MARKET STREET,PERTH,PR6,3EN,ENG007,Morag Henderson,CI,25
W2300013,W2300007,DUNDEE,DUNDEE,ASSET-1768,Main repair following excavation,Temporary clamp applied,4,IR,NO  [Root WO: Gas in Property = YES],MAIN,Valve replaced,N,1,0,0,0,0,OPEN,2026-05-27 17:34:14,2026-05-27 13:28:00,2026-05-27 17:34:14,LOC-DND-450,VICTORIA ROAD,DUNDEE,DN2,1FN,ENG008,Craig Burns,ST,150
W2300014,W2300006,EDINBURGH,EDINBURGH,ASSET-7971,Valve replacement,PE joint failure on low pressure,1,IR,NO  [Root WO: Gas in Property = YES],RISER,Valve replaced,Y,0,1,0,0,0,OPEN,2026-05-26 17:14:41,2026-05-26 11:30:00,2026-05-26 17:14:41,LOC-EDI-339,ARGYLE STREET,EDINBURGH,ED2,7FU,ENG003,Catriona Stewart,AC,32
W2300015,W2300006,PAISLEY,PAISLEY,ASSET-6631,Service riser inspection,Root damage identified,3,MR,YES,MAIN,Section replaced with PE,Y,0,0,1,0,0,CLOSE,2026-05-26 15:58:41,2026-05-26 13:39:00,2026-05-26 15:58:41,LOC-PSL-055,VICTORIA ROAD,PAISLEY,PS2,5LK,ENG013,Lynn Murray,AC,63
W2300016,W2300008,PAISLEY,PAISLEY,ASSET-0231,Gas smell report investigation,Corrosion on steel riser above ground,2,IR,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,Section replaced with PE,N,0,0,1,0,0,CLOSE,2026-05-26 14:51:41,2026-05-26 12:19:00,2026-05-26 14:51:41,LOC-PSL-754,PRINCES STREET,PAISLEY,PS6,6ER,ENG015,Diane Kerr,CI,100
W2300017,W2300011,AYR,AYR,ASSET-7968,Joint failure investigation,Excavation required,2,ME,YES,RISER,Clamp fitted,Y,0,1,0,0,0,COMP,2026-05-26 17:02:07,2026-05-26 08:51:00,2026-05-26 17:02:07,LOC-AYR-765,HIGH STREET,AYR,AY2,9BD,ENG011,Sandra Gillies,PE,32
W2300018,W2300008,ABERDEEN,ABERDEEN,ASSET-8501,Service pipe leak repair,Leak found at joint under pavement,3,IR,NO  [Root WO: Gas in Property = NO],METER,Riser section replaced,N,0,0,0,1,0,CLOSE,2026-05-27 15:04:22,2026-05-27 09:09:00,2026-05-27 15:04:22,LOC-ABD-426,UNION STREET,ABERDEEN,AB2,9UQ,ENG003,Catriona Stewart,PE,32
W2300019,W2300009,STIRLING,STIRLING,ASSET-4304,Valve replacement,Temporary clamp applied,2,ME,YES,VALVE,Valve replaced,N,0,0,0,1,0,CLOSE,2026-05-26 18:09:34,2026-05-26 13:57:00,2026-05-26 18:09:34,LOC-STL-055,ARGYLE STREET,STIRLING,ST8,2XE,ENG003,Catriona Stewart,CI,100
W2300020,W2300015,EDINBURGH,EDINBURGH,ASSET-4897,Routine repair WO,Isolation required,3,ME,YES,VALVE,Pipe section renewed,N,0,0,0,1,0,COMP,2026-05-27 16:56:20,2026-05-27 13:33:00,2026-05-27 16:56:20,LOC-EDI-515,BUCHANAN STREET,EDINBURGH,ED7,5KZ,ENG015,Diane Kerr,AC,32
W2300021,W2300011,MOTHERWELL,MOTHERWELL,ASSET-9671,Joint failure investigation,Excavation required,2,ME,NO  [Root WO: Gas in Property = NO],METER,PE joint re-made,Y,0,1,0,0,0,CLOSE,2026-05-27 17:13:07,2026-05-27 08:43:00,2026-05-27 17:13:07,LOC-MTH-082,MAIN STREET,MOTHERWELL,MT4,1PC,ENG005,Fiona Cameron,ST,100
W2300022,W2300019,EDINBURGH,EDINBURGH,ASSET-0624,Emergency service connection,Root damage identified,3,EM,NO,JOINT,Clamp fitted,Y,0,0,1,0,0,CLOSE,2026-05-27 14:18:22,2026-05-27 10:02:00,2026-05-27 14:18:22,LOC-EDI-551,HIGH STREET,EDINBURGH,ED3,4MA,ENG006,Kevin McAllister,AC,200
W2300023,W2300015,PERTH,PERTH,ASSET-7801,Service riser inspection,Root damage identified,1,EM,NO,MAIN,Temporary repair applied,Y,0,0,0,1,0,PEND,2026-05-26 18:54:23,2026-05-26 10:48:00,2026-05-26 18:54:23,LOC-PRT-318,MARKET STREET,PERTH,PR7,8YW,ENG003,Catriona Stewart,CI,32
W2300024,W2300019,STIRLING,STIRLING,ASSET-3592,Main repair following excavation,Leak found at joint under pavement,2,MR,NO,MAIN,Clamp fitted,N,0,0,1,0,0,CLOSE,2026-05-27 18:18:03,2026-05-27 12:56:00,2026-05-27 18:18:03,LOC-STL-762,BUCHANAN STREET,STIRLING,ST9,3CK,ENG006,Kevin McAllister,CI,150
W2300025,W2300019,ABERDEEN,ABERDEEN,ASSET-9872,Valve replacement,PE joint failure on low pressure,2,MR,NO  [Root WO: Gas in Property = NO],MAIN,Section replaced with PE,Y,0,1,0,0,0,CLOSE,2026-05-27 17:02:45,2026-05-27 11:32:00,2026-05-27 17:02:45,LOC-ABD-274,MARKET STREET,ABERDEEN,AB3,4AO,ENG010,Brian Thomson,ST,200
W2300026,W2300023,PAISLEY,PAISLEY,ASSET-5405,Corrosion repair on main,Leak found at joint under pavement,4,IR,YES,RISER,Isolation applied,Y,0,0,0,0,1,OPEN,2026-05-27 18:28:10,2026-05-27 11:19:00,2026-05-27 18:28:10,LOC-PSL-383,KING STREET,PAISLEY,PS8,2CV,ENG010,Brian Thomson,CI,200
W2300027,W2300018,STIRLING,STIRLING,ASSET-7971,Pressure drop investigation,Root damage identified,1,MR,NO  [Root WO: Gas in Property = NO],MAIN,PE joint re-made,N,0,0,1,0,0,PEND,2026-05-26 16:08:53,2026-05-26 10:27:00,2026-05-26 16:08:53,LOC-STL-696,CHURCH STREET,STIRLING,ST1,1FJ,ENG002,Alistair Fraser,ST,200
W2300028,W2300019,INVERNESS,INVERNESS,ASSET-7803,Emergency service connection,PE joint failure on low pressure,2,MR,NO  [Root WO: Gas in Property = YES],METER,Pipe section renewed,N,0,1,0,0,0,COMP,2026-05-26 15:36:23,2026-05-26 12:19:00,2026-05-26 15:36:23,LOC-INV-862,BUCHANAN STREET,INVERNESS,IN8,3YN,ENG009,Lorna Mitchell,ST,32
