LDZ,Depot,Workstream,Engineer,Engineer Name,Team Manager Name,Workorder No.,Job Type,Job Priority,Actual Start,Actual Finish,Time On Site (HH:MM:SS),Duration (Hours)
NW,BOLTON,METERING,ENG012,Brian Cook,Gary Williams,W5600000,ME,E1,2026-05-24 07:19:00,2026-05-24 17:19:00,10:00:00,10.0
NT,NOTTINGHAM,REPAIR,ENG060,Barry Noon,Sue Holt,W5600001,IR,M1,2026-05-23 11:33:00,2026-05-23 15:09:00,03:36:00,3.6
SC,ABERDEEN,ROUTINE,ENG004,Douglas Reid,Graham Loan,W5600002,ME,M1,2026-05-25 10:51:00,2026-05-25 15:15:00,04:24:00,4.4
SE,GUILDFORD,REPAIR,ENG031,Tracey McIntyre,Ray Ingram,W5600003,IR,E2,2026-05-21 06:08:00,2026-05-21 20:26:00,14:18:00,14.3
NT,LINCOLN,REPAIR,ENG061,Cathy Dean,Sue Holt,W5600004,EM,R1,2026-05-27 09:31:00,2026-05-27 18:01:00,08:30:00,8.5
SO,SALISBURY,REPAIR,ENG051,Wendy Nash,Phil Russell,W5600005,RO,M1,2026-05-25 08:21:00,2026-05-25 22:51:00,14:30:00,14.5
SO,SALISBURY,EMERGENCY,ENG051,Wendy Nash,Phil Russell,W5600006,IR,R1,2026-05-22 10:17:00,2026-05-22 14:47:00,04:30:00,4.5
EA,IPSWICH,REPAIR,ENG022,Peter Wong,Mark Booker,W5600007,ME,R2,2026-05-27 10:59:00,2026-05-27 21:29:00,10:30:00,10.5
EA,PETERBOROUGH,INSPECTION,ENG023,Sharon King,Anne Foster,W5600008,RO,R2,2026-05-23 09:30:00,2026-05-24 00:30:00,15:00:00,15.0
NT,LEICESTER,REPAIR,ENG060,Barry Noon,Sue Holt,W5600009,EM,M1,2026-05-26 08:38:00,2026-05-26 22:14:00,13:36:00,13.6
NT,LEICESTER,ROUTINE,ENG061,Cathy Dean,Sue Holt,W5600010,RO,E1,2026-05-25 08:05:00,2026-05-25 20:23:00,12:18:00,12.3
NT,LEICESTER,ROUTINE,ENG062,Fred Archer,Sue Holt,W5600011,IR,M2,2026-05-21 06:41:00,2026-05-21 17:59:00,11:18:00,11.3
NE,MIDDLESBROUGH,EMERGENCY,ENG071,Alan Shaw,Bill Tyne,W5600012,IR,R2,2026-05-21 08:03:00,2026-05-21 16:51:00,08:48:00,8.8
NE,NEWCASTLE,INSPECTION,ENG072,Liz Cooke,Bill Tyne,W5600013,IR,M2,2026-05-24 11:47:00,2026-05-24 21:23:00,09:36:00,9.6
NE,DURHAM,REPAIR,ENG071,Alan Shaw,Bill Tyne,W5600014,IR,M1,2026-05-24 10:38:00,2026-05-24 23:56:00,13:18:00,13.3
SC,PAISLEY,REPAIR,ENG004,Douglas Reid,Graham Loan,W5600015,IR,E1,2026-05-23 07:43:00,2026-05-23 15:13:00,07:30:00,7.5
SE,EASTBOURNE,METERING,ENG032,Colin James,Pat Nolan,W5600016,IR,E1,2026-05-26 07:14:00,2026-05-26 12:44:00,05:30:00,5.5
SE,MAIDSTONE,INSPECTION,ENG032,Colin James,Pat Nolan,W5600017,IR,R2,2026-05-26 09:08:00,2026-05-26 13:14:00,04:05:59,4.1
SC,DUNDEE,EMERGENCY,ENG003,Catriona Stewart,Graham Loan,W5600018,EM,E2,2026-05-24 08:21:00,2026-05-24 17:21:00,09:00:00,9.0
WM,STOKE,METERING,ENG042,Steve Frost,Mark Reygate,W5600019,ME,R1,2026-05-24 08:06:00,2026-05-24 21:00:00,12:54:00,12.9
EA,NORWICH,REPAIR,ENG020,Mark Holloway,Mark Booker,W5600020,IR,E1,2026-05-24 09:36:00,2026-05-24 18:54:00,09:18:00,9.3
SC,EDINBURGH,INSPECTION,ENG006,Kevin McAllister,Gordon Shaw,W5600021,ME,E1,2026-05-22 08:15:00,2026-05-22 14:45:00,06:30:00,6.5
NE,NEWCASTLE,EMERGENCY,ENG071,Alan Shaw,Bill Tyne,W5600022,RO,M1,2026-05-24 08:35:00,2026-05-25 00:05:00,15:30:00,15.5
NW,BOLTON,METERING,ENG013,Helen Morris,Dave Clarke,W5600023,ME,R1,2026-05-21 10:00:00,2026-05-21 19:00:00,09:00:00,9.0
NT,NOTTINGHAM,INSPECTION,ENG062,Fred Archer,Sue Holt,W5600024,ME,E1,2026-05-25 11:26:00,2026-05-25 16:56:00,05:30:00,5.5
EA,LUTON,EMERGENCY,ENG020,Mark Holloway,Mark Booker,W5600025,IR,M1,2026-05-27 09:08:00,2026-05-27 12:32:00,03:24:00,3.4
SC,STIRLING,ROUTINE,ENG003,Catriona Stewart,Graham Loan,W5600026,RO,E1,2026-05-21 10:53:00,2026-05-22 00:47:00,13:54:00,13.9
SE,HORSHAM,METERING,ENG032,Colin James,Pat Nolan,W5600027,EM,M2,2026-05-25 10:13:00,2026-05-25 23:19:00,13:06:00,13.1
NE,NEWCASTLE,METERING,ENG072,Liz Cooke,Bill Tyne,W5600028,MR,M1,2026-05-25 11:54:00,2026-05-26 03:36:00,15:42:00,15.7
SE,CROYDON,ROUTINE,ENG030,Stuart Porter,Ray Ingram,W5600029,ME,E2,2026-05-23 10:45:00,2026-05-23 13:51:00,03:06:00,3.1
WM,STOKE,ROUTINE,ENG040,Wayne Edwards,Mark Reygate,W5600030,MR,M1,2026-05-24 07:18:00,2026-05-24 21:06:00,13:48:00,13.8
NE,MIDDLESBROUGH,ROUTINE,ENG071,Alan Shaw,Bill Tyne,W5600031,EM,R2,2026-05-26 06:46:00,2026-05-26 18:40:00,11:54:00,11.9
NW,BOLTON,REPAIR,ENG014,Alan Sharp,Dave Clarke,W5600032,MR,M1,2026-05-26 07:23:00,2026-05-26 12:35:00,05:12:00,5.2
SO,BOURNEMOUTH,ROUTINE,ENG050,Phil Hodgkins,Phil Russell,W5600033,RO,M2,2026-05-21 08:35:00,2026-05-21 16:35:00,08:00:00,8.0
SE,GUILDFORD,METERING,ENG030,Stuart Porter,Ray Ingram,W5600034,IR,R2,2026-05-22 07:27:00,2026-05-22 23:09:00,15:42:00,15.7
NW,BOLTON,METERING,ENG013,Helen Morris,Dave Clarke,W5600035,EM,M2,2026-05-25 09:08:00,2026-05-25 12:50:00,03:42:00,3.7
NE,MIDDLESBROUGH,EMERGENCY,ENG070,Janet Robb,Bill Tyne,W5600036,IR,M2,2026-05-24 07:09:00,2026-05-24 22:33:00,15:24:00,15.4
EA,NORWICH,ROUTINE,ENG021,Rachel Davies,Mark Booker,W5600037,ME,R2,2026-05-27 10:33:00,2026-05-27 23:39:00,13:06:00,13.1
